player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Hayden Conner,144723,G,TEXAS,16,100.0,0,311,70.9,85.4,65.9,4,11,589,100.0,100.0,98.7,3,15,0,1067,50,1017,0,1067,617,617,0,0,450,0
Jake Majors,123123,C,TEXAS,16,100.0,0,311,72.7,85.4,68.2,2,13,577,100.0,100.0,98.7,5,15,0,1042,1042,0,0,1042,602,602,0,0,440,0
Caleb Rogers,123157,T,TEXAS TECH,13,100.0,0,315,70.9,77.3,69.5,4,14,581,100.0,100.0,97.8,9,22,4,1025,0,186,0,1025,610,610,115,721,415,1
Savion Washington,130505,T,SYRACUSE,13,100.0,0,304,71.4,74.0,69.3,2,12,633,100.0,100.0,98.4,6,17,3,1024,0,0,0,1024,674,674,0,1019,350,0
Mark Petry,123053,G,SYRACUSE,13,100.0,0,304,62.9,68.2,58.6,3,17,634,100.0,100.0,97.9,3,23,3,1022,0,1,0,1022,673,673,1018,0,349,0
Sheridan Wilson,157336,C,TEXAS TECH,13,100.0,0,315,63.0,87.5,57.5,3,9,581,100.0,100.0,99.0,10,12,0,1021,1021,0,0,1021,610,610,0,0,411,0
CJ James Jr.,151192,C,UTSA,13,100.0,0,331,71.5,77.6,73.7,1,10,578,100.0,100.0,99.0,11,11,0,1004,1004,0,0,1004,612,612,0,0,392,0
Jarrod Hufford,99440,C,IOWA STATE,14,100.0,0,193,65.2,72.4,64.4,0,12,520,100.0,100.0,98.7,8,13,1,996,984,12,0,996,559,559,0,0,437,0
Olaivavega Ioane,164174,G,PENN STATE,16,99.8,0,266,73.4,74.9,73.0,1,16,478,99.6,99.6,98.2,3,17,0,983,17,783,3,985,497,499,135,2,486,14
Will O'Steen,125373,T,JVILLE ST,14,100.0,0,196,78.7,72.7,76.4,2,7,362,100.0,100.0,98.2,1,11,2,981,0,0,972,981,396,396,0,0,585,9
Nick Dawkins,129773,C,PENN STATE,16,100.0,0,266,61.7,53.8,65.4,3,24,482,100.0,100.0,96.8,8,29,2,978,977,0,0,978,501,501,0,0,477,1
Cameron Williams,163867,T,TEXAS,15,100.0,1,311,67.4,72.6,70.8,3,18,539,100.0,100.0,97.1,16,26,5,975,0,0,0,975,561,561,0,973,414,2
Aamil Wagner,156973,T,NOTRE DAME,16,100.0,0,258,79.5,72.2,78.1,4,23,494,100.0,100.0,96.9,2,29,2,973,0,0,0,973,529,529,0,971,444,0
Ryan Linthicum,144122,C,CLEMSON,14,100.0,1,140,65.6,65.6,63.8,3,19,569,100.0,100.0,97.4,2,26,4,973,973,0,0,973,600,600,0,0,373,0
Kamar Missouri,129890,T,UTSA,13,100.0,1,331,53.4,45.4,58.4,3,27,559,100.0,100.0,96.6,3,34,4,971,0,3,968,971,590,590,0,0,381,0
Drew Shelton,164186,T,PENN STATE,16,100.0,0,266,57.4,65.7,51.9,2,14,476,100.0,100.0,97.9,2,18,2,970,0,2,927,970,495,495,5,11,475,21
Iapani Laloulu,174128,C,OREGON,14,100.0,0,264,72.6,80.6,71.1,4,6,498,100.0,100.0,99.0,7,10,0,970,854,1,1,970,528,528,110,1,442,1
Dorion Strawn,150063,T,TEXAS ST,13,99.9,0,314,77.2,79.2,71.8,5,18,480,99.8,99.8,97.0,1,26,3,967,0,2,957,968,503,504,0,0,464,9
Chayse Todd,97851,C,TEXAS ST,13,100.0,0,314,67.9,82.3,65.6,1,3,480,100.0,100.0,99.4,10,5,1,966,966,0,0,966,503,503,0,0,463,0
PJ Williams,158685,T,SMU,14,99.9,0,287,75.7,79.1,73.7,4,13,474,99.8,99.8,98.0,12,18,1,966,0,0,200,967,516,517,0,744,450,23
Ajani Cornelius,142968,T,OREGON,14,99.9,0,264,74.2,72.4,73.8,4,22,497,100.0,99.8,96.8,4,29,3,965,0,2,1,966,526,527,1,939,439,20
Tyler Miller,122526,T,IOWA STATE,14,100.0,0,193,51.6,54.5,49.0,3,31,507,100.0,100.0,96.4,2,35,1,963,0,0,0,963,544,544,0,951,419,12
Xavier Hill,124098,G,MEMPHIS,13,100.0,0,218,84.0,86.4,81.6,2,10,529,100.0,100.0,98.5,3,14,2,961,0,490,0,961,561,561,5,464,400,1
Josh Conerly Jr.,163291,T,OREGON,14,99.6,0,264,78.3,83.6,72.5,2,6,494,99.6,99.4,99.0,4,9,1,961,0,3,929,965,523,526,2,0,438,25
Chris Adams,145359,T,MEMPHIS,13,99.9,1,218,81.8,81.1,82.8,4,15,528,99.8,99.8,98.2,9,19,0,960,0,0,958,961,560,561,0,0,400,2
Jonah Gambill,121763,G,MEMPHIS,13,100.0,0,218,67.4,74.8,65.2,3,13,527,100.0,100.0,98.5,4,16,0,959,8,0,1,959,559,559,950,0,400,0
Ryan Baer,156362,T,PITTSBURGH,13,100.0,0,268,59.4,53.4,66.2,8,31,590,100.0,100.0,95.7,6,45,6,957,0,0,412,957,635,635,0,545,322,0
Leif Fautanu,101261,C,ARIZONA ST,14,100.0,0,110,69.2,80.9,67.3,0,10,456,100.0,100.0,98.9,6,10,0,956,956,0,0,956,477,477,0,0,479,0
Trent Holler,105818,C,MEMPHIS,13,100.0,1,218,82.8,84.7,80.0,1,3,527,100.0,100.0,98.9,1,8,4,952,952,0,0,952,558,558,0,0,394,0
Kage Casey,157197,T,BOISE ST,14,100.0,0,120,83.4,86.9,76.4,1,5,440,100.0,100.0,99.3,1,6,0,947,0,0,938,947,466,466,0,0,481,8
Evan Wibberley,156645,C,W KENTUCKY,14,100.0,0,346,67.9,86.3,58.9,0,10,526,100.0,100.0,99.0,3,10,0,939,939,0,0,939,553,553,0,0,386,0
Pichon Wimbley,158371,G,GA SOUTHRN,13,100.0,0,174,55.4,85.9,43.1,2,8,523,100.0,100.0,98.7,3,12,2,939,0,937,0,939,566,566,0,1,373,1
Marshall Jackson,72689,T,W KENTUCKY,14,100.0,1,346,70.6,75.1,64.3,3,20,526,100.0,100.0,97.1,4,27,4,939,0,0,0,939,553,553,3,931,386,5
Derek Bowman,123654,T,USF,13,100.0,1,327,57.4,61.3,53.5,6,19,506,100.0,100.0,96.9,6,28,3,938,0,0,4,938,547,547,3,930,391,1
Tomas Rimac,144783,G,W VIRGINIA,13,100.0,0,343,78.1,82.3,77.3,1,8,445,100.0,100.0,99.0,6,9,0,937,0,935,0,937,479,479,0,0,458,0
Blake Miller,156248,T,CLEMSON,14,100.0,0,140,75.6,76.4,69.3,2,15,548,100.0,100.0,98.3,1,18,1,935,0,0,101,935,579,579,0,827,356,7
Coleton Price,158567,C,BAYLOR,13,100.0,1,118,68.0,66.3,69.1,1,10,461,100.0,100.0,98.6,5,12,1,935,935,0,0,935,499,499,0,0,436,0
Kelvin Banks Jr.,163839,T,TEXAS,15,100.0,0,311,86.2,89.9,81.0,2,7,515,100.0,100.0,98.9,7,10,1,935,0,0,934,935,538,538,0,0,397,1
Mehki Butler,147056,G,ARK STATE,13,100.0,0,113,76.0,75.8,75.0,0,15,518,100.0,100.0,98.4,0,16,1,934,0,934,0,934,550,550,0,0,384,0
Cam Jones,101050,T,JVILLE ST,14,100.0,0,196,63.6,45.5,69.3,5,15,344,100.0,100.0,95.9,5,24,4,933,0,0,0,933,377,377,141,792,556,0
Ben Coleman,100518,G,ARIZONA ST,14,100.0,0,110,68.5,84.0,63.1,2,8,451,100.0,100.0,98.9,1,10,0,933,0,931,0,933,472,472,0,0,461,0
Evan Malcore,158043,T,N ILLINOIS,13,100.0,0,254,65.7,70.1,62.5,1,7,431,100.0,100.0,98.6,3,10,2,932,0,1,926,932,454,454,0,5,478,0
Nick Malone,99421,T,W VIRGINIA,13,100.0,1,343,81.2,83.0,78.5,1,13,446,100.0,100.0,98.0,5,16,2,929,0,0,6,929,479,479,0,921,450,0
Josh Fryar,129746,T,OHIO STATE,16,100.0,0,260,64.1,63.3,62.7,2,16,464,100.0,100.0,97.8,4,19,1,928,0,0,0,928,485,485,0,925,443,3
DJ Chester,172473,C,LSU,13,100.0,1,211,49.5,64.6,50.1,3,18,559,100.0,100.0,97.6,14,24,3,925,925,0,0,925,592,592,0,0,333,0
Ja'Quay Hubbard,99678,G,W VIRGINIA,13,100.0,0,343,61.8,72.2,57.9,3,10,445,100.0,100.0,97.6,3,17,4,924,0,0,0,924,479,479,924,0,445,0
Max Iheanachor,171881,T,ARIZONA ST,14,100.0,1,110,68.2,72.0,64.7,3,15,448,100.0,100.0,97.3,5,21,3,923,0,0,0,923,469,469,0,923,454,0
Brendan Black,174658,G,IOWA STATE,14,100.0,0,193,51.6,26.1,56.8,1,27,482,100.0,100.0,96.7,0,30,2,923,0,0,0,923,518,518,923,0,405,0
Jakai Clark,97645,C,SMU,14,100.0,0,287,69.5,88.0,68.2,0,6,462,100.0,100.0,99.1,11,7,1,922,870,0,0,922,500,500,52,0,422,0
Malik Williams,128441,T,S JOSE ST,13,100.0,1,285,49.1,44.9,54.4,8,19,582,100.0,100.0,97.7,5,27,0,922,0,0,922,922,631,631,0,0,291,0
Hollin Pierce,129899,T,RUTGERS,13,100.0,0,278,85.5,80.7,83.5,5,15,448,100.0,100.0,97.5,2,21,1,919,0,0,918,919,473,473,0,0,446,0
Gus Zilinskas,145132,C,RUTGERS,13,100.0,0,278,68.7,70.7,68.5,2,12,448,100.0,100.0,98.2,5,15,1,918,918,0,0,918,473,473,0,0,445,0
Kwabena Asamoah,156503,G,RUTGERS,13,100.0,0,278,65.8,53.0,67.4,4,13,447,100.0,100.0,97.7,1,19,2,918,0,0,0,918,472,472,917,0,446,0
Quantavious Leslie,123456,G,W KENTUCKY,14,100.0,0,346,66.4,83.0,60.8,3,6,516,100.0,100.0,99.1,5,9,0,917,0,914,0,917,543,543,0,3,374,0
Clay Webb,99076,G,JVILLE ST,14,100.0,1,196,82.0,72.7,82.7,2,4,348,100.0,100.0,98.9,4,7,1,915,0,915,0,915,382,382,0,0,533,0
Ben Dooley,101247,G,BOISE ST,14,100.0,1,120,72.8,72.8,71.6,2,10,428,100.0,100.0,98.4,3,13,1,915,0,915,0,915,453,453,0,0,462,0
Justin Osborne,99071,G,SMU,14,100.0,1,287,67.4,75.7,64.6,3,7,456,100.0,100.0,98.2,6,13,3,914,104,0,0,914,494,494,697,111,420,2
Francis Mauigoa,170088,T,MIAMI FL,13,100.0,2,220,70.7,72.2,68.1,1,17,534,100.0,100.0,98.1,5,19,1,914,0,0,0,914,576,576,0,913,338,1
Zach Carpenter,101539,C,MIAMI FL,13,100.0,1,220,68.4,81.3,60.8,3,10,534,100.0,100.0,98.2,3,16,3,913,913,0,0,913,576,576,0,0,337,0
Valentin Senn,100533,T,UCONN,13,100.0,1,146,80.0,69.5,80.9,1,15,434,100.0,100.0,98.2,3,16,0,913,0,0,905,913,455,455,0,0,458,8
E'Marion Harris,157022,G,ARKANSAS,13,100.0,0,111,50.9,48.6,48.4,5,28,493,100.0,100.0,95.4,1,39,6,912,0,445,12,912,513,513,0,452,399,2
Noah Smith,147054,T,ARK STATE,13,100.0,1,113,40.7,36.8,43.6,6,33,504,100.0,100.0,95.1,6,44,5,912,0,0,669,912,535,535,0,243,377,0
Parker Moorer,99422,T,E CAROLINA,13,99.9,2,156,69.2,72.8,65.8,6,11,475,99.8,99.8,98.0,6,18,1,911,0,0,896,912,506,507,0,0,405,14
Dustyn Hall,101036,C,E CAROLINA,13,100.0,0,156,76.7,78.4,76.8,2,6,475,100.0,100.0,99.2,4,8,0,911,911,0,0,911,506,506,0,0,405,0
Christopher Fortin,147384,G,UCONN,13,100.0,0,146,75.3,74.4,75.4,3,9,432,100.0,100.0,98.6,3,12,0,908,0,474,1,908,453,453,433,0,455,0
Bryson Broadway,137997,T,GA SOUTHRN,13,100.0,1,174,65.7,64.8,65.1,2,24,498,100.0,100.0,96.4,6,31,5,907,0,1,0,907,541,541,0,901,366,5
Christophe Atkinson,98064,G,OHIO,14,100.0,0,259,70.8,80.7,69.6,1,6,411,100.0,100.0,98.9,6,8,1,907,5,0,0,907,434,434,902,0,473,0
Jack Hasz,145666,C,UNLV,14,100.0,1,325,62.7,78.2,59.6,0,6,397,100.0,100.0,99.0,7,7,1,905,905,0,0,905,417,417,0,0,488,0
Jordan Williams,122503,T,GA TECH,13,100.0,0,176,66.8,76.2,61.0,2,12,432,100.0,100.0,98.1,4,15,1,905,0,2,0,905,453,453,0,900,452,2
Keylan Rutledge,156597,G,GA TECH,13,100.0,0,176,64.0,77.8,59.9,1,4,432,100.0,100.0,99.2,2,6,1,904,0,0,2,904,453,453,901,0,451,1
Richard Pearce,151054,G,NEW MEXICO,12,100.0,0,241,70.6,70.6,75.1,0,6,435,100.0,100.0,99.3,10,6,0,904,0,0,2,904,476,476,896,0,428,6
Marcus Bryant,121917,T,MISSOURI,13,100.0,1,229,75.0,73.2,75.6,3,14,439,100.0,100.0,96.9,5,22,5,903,0,1,900,903,459,459,0,0,444,1
Trevor Brock,171197,G,BUFFALO,13,100.0,0,126,62.7,61.4,60.7,5,9,391,100.0,100.0,97.7,1,16,2,902,0,897,0,902,411,411,0,0,491,2
Miles Frazier,123626,G,LSU,13,100.0,1,211,70.3,88.0,63.9,1,12,545,100.0,100.0,98.8,3,13,0,902,0,0,0,902,579,579,839,61,323,0
Carter Fouty,156989,G,TOLEDO,13,100.0,1,316,56.2,55.6,54.9,4,14,494,100.0,100.0,98.0,5,19,1,902,0,902,0,902,527,527,0,0,375,0
Cole Rhett,171386,T,TOLEDO,13,100.0,0,316,51.6,45.8,56.0,5,31,494,100.0,100.0,94.5,3,45,9,902,0,0,0,902,527,527,0,902,375,0
McKenzie Agnello,160062,C,NEW MEXICO,12,99.9,0,241,74.8,73.5,76.0,1,6,435,100.0,99.8,99.2,7,7,0,901,636,0,10,902,473,474,0,215,428,41
Fernando Carmona,146185,T,ARKANSAS,13,100.0,1,111,66.0,68.9,64.8,3,14,487,100.0,100.0,97.2,6,22,5,900,0,0,899,900,507,507,0,0,393,0
Vershon Lee,124246,C,S CAROLINA,13,100.0,0,289,69.9,66.5,71.4,1,17,426,100.0,100.0,96.7,6,23,5,899,897,0,1,899,461,461,0,0,438,0
BJ Williams,170127,G,PITTSBURGH,13,100.0,1,268,65.5,68.9,63.8,8,13,570,100.0,100.0,97.6,3,24,3,898,0,0,0,898,610,610,898,0,288,0
Weston Franklin,143913,C,GA TECH,13,100.0,0,176,63.6,72.4,63.7,3,8,428,100.0,100.0,98.5,7,12,1,898,898,0,0,898,449,449,0,0,449,0
Tyler Doty,130407,G,BUFFALO,13,100.0,0,126,69.0,71.9,67.0,0,8,391,100.0,100.0,99.0,2,8,0,898,0,0,0,898,411,411,894,0,487,2
Baraka Beckett,81883,G,NEW MEXICO,12,100.0,1,241,69.4,91.5,66.5,0,3,434,100.0,100.0,99.7,8,3,0,897,0,890,6,897,475,475,0,1,422,0
Dom Polizzi,97651,C,BUFFALO,13,100.0,0,126,70.0,73.2,66.7,2,8,391,100.0,100.0,98.7,1,10,0,897,897,0,0,897,409,409,0,0,488,0
Chase Lundt,98515,T,UCONN,13,100.0,0,146,86.7,73.9,87.1,1,8,428,100.0,100.0,98.9,2,9,0,897,0,1,0,897,449,449,0,894,448,2
Ethan Spoth,156998,G,TOLEDO,13,100.0,1,316,67.4,77.5,61.8,1,11,489,100.0,100.0,98.8,3,12,0,895,285,0,0,895,522,522,610,0,373,0
Logan Zschernitz,100262,C,N ILLINOIS,13,100.0,0,254,75.3,72.6,74.4,4,13,413,100.0,100.0,97.5,2,19,2,894,655,15,0,894,436,436,224,0,458,0
Tiger Shanks,128371,T,UNLV,14,99.2,2,325,78.2,82.8,71.9,1,9,390,98.2,98.3,98.5,4,11,1,894,0,0,0,901,410,417,0,830,484,71
Jakob Bradford,144039,G,SYRACUSE,13,99.9,0,304,59.4,71.5,53.9,3,15,557,99.8,99.8,98.2,4,19,1,894,0,892,0,895,590,591,1,0,304,0
Peseti Lapuaho,159070,T,S JOSE ST,13,100.0,0,285,29.0,16.7,49.8,10,22,567,100.0,100.0,96.5,10,36,4,892,0,0,0,892,615,615,0,892,277,0
Caelan Shepard,98489,T,BUFFALO,13,100.0,0,126,62.2,52.2,65.1,5,14,391,100.0,100.0,96.8,3,22,3,891,0,1,0,891,412,412,0,885,479,2
John Champe,130545,G,N ILLINOIS,13,100.0,0,254,76.4,70.5,76.3,4,10,416,100.0,100.0,98.1,0,15,1,890,0,183,0,890,439,439,706,1,451,0
Vincent Murphy,99046,C,TULANE,14,100.0,0,319,76.3,85.7,76.3,1,2,377,100.0,100.0,99.3,7,4,1,889,889,0,0,889,400,400,0,0,489,0
Tellek Lockette,163512,G,TEXAS ST,13,100.0,0,314,63.2,78.9,57.8,6,5,434,100.0,100.0,98.5,3,12,1,888,0,0,0,888,457,457,886,0,431,2
Parker Titsworth,97656,C,OHIO,14,100.0,2,259,57.4,56.4,57.3,4,7,405,100.0,100.0,98.1,5,13,2,888,888,0,0,888,428,428,0,0,460,0
Cooper Mays,124289,C,TENNESSEE,13,100.0,0,307,68.8,75.7,67.1,0,9,426,100.0,100.0,98.7,4,10,1,887,887,0,0,887,460,460,0,0,427,0
Hampton Ergle,123795,G,E CAROLINA,13,100.0,1,156,54.3,41.9,57.9,5,14,462,100.0,100.0,97.1,5,23,4,885,0,466,0,885,492,492,419,0,393,0
Trey Zuhn III,147019,T,TEXAS A&M,13,100.0,0,312,75.1,80.8,68.0,2,11,417,100.0,100.0,98.0,2,15,2,882,0,0,881,882,437,437,0,0,445,1
J.J. Lippe,98426,G,N ILLINOIS,13,100.0,0,254,74.7,75.6,72.2,3,7,410,100.0,100.0,98.5,0,11,1,882,0,726,1,882,433,433,0,132,449,23
Emmanuel Pregnon,128427,G,USC,13,100.0,1,326,66.6,67.5,64.1,5,13,532,100.0,100.0,98.3,1,18,0,882,0,882,0,882,555,555,0,0,327,0
Wyatt Bowles,81896,G,UTAH ST,12,100.0,1,329,63.8,64.3,63.6,3,12,483,100.0,100.0,98.0,6,17,2,881,0,753,72,881,510,510,55,0,371,1
Matt Craycraft,162694,C,DUKE,13,100.0,0,154,68.0,76.1,63.0,0,5,486,100.0,100.0,99.1,1,7,2,881,881,0,0,881,515,515,0,0,366,0
Jalen St. John,123963,T,UNLV,14,100.0,1,325,66.2,71.0,61.9,2,13,387,100.0,100.0,97.5,5,17,2,880,0,1,877,880,407,407,0,0,473,2
Kamaar Bell,99073,G,S CAROLINA,13,100.0,0,289,58.1,58.9,56.0,4,15,421,100.0,100.0,97.3,3,21,2,880,0,874,2,880,456,456,1,0,424,1
Brian Parker II,162699,T,DUKE,13,100.0,1,154,78.9,85.4,68.8,1,9,486,100.0,100.0,99.0,3,10,0,880,0,0,50,880,515,515,0,828,365,2
Ryan Lengyel,144516,G,BAYLOR,13,100.0,0,118,68.7,78.0,64.8,0,6,453,100.0,100.0,99.3,2,6,0,879,0,879,0,879,487,487,0,0,392,0
Aaron Karas,163326,T,COLO STATE,13,100.0,0,144,73.0,62.3,75.3,2,21,418,100.0,100.0,97.2,2,23,0,878,0,0,0,878,442,442,0,878,436,0
James Dawn II,160282,G,SM HOUSTON,13,100.0,1,281,65.6,78.7,60.8,2,4,398,100.0,100.0,98.7,1,8,2,878,0,34,0,878,417,417,844,0,461,0
Reece McIntyre,98383,C,OLE MISS,13,100.0,0,226,59.7,70.0,56.5,4,10,466,100.0,100.0,98.1,4,16,2,878,878,0,0,878,495,495,0,0,383,0
Derrick Graham,123703,T,TULANE,14,100.0,0,319,75.0,75.9,73.9,3,11,378,100.0,100.0,97.6,5,16,2,878,0,0,877,878,400,400,0,0,478,0
Hayden Christman,170453,T,LA TECH,13,100.0,0,208,60.5,68.0,53.6,3,13,470,100.0,100.0,97.2,3,21,5,878,0,0,0,878,483,483,0,866,395,10
Bryce Benhart,98531,T,NEBRASKA,13,100.0,0,238,73.6,67.7,74.2,2,25,462,99.8,99.8,96.2,3,31,4,877,0,0,0,877,496,497,0,873,381,3
Justin Evans,156464,G,NEBRASKA,13,100.0,1,238,69.1,66.7,68.8,0,8,462,99.8,99.8,98.7,3,10,2,877,0,873,0,877,496,497,0,3,381,0
Ben Scott,98398,C,NEBRASKA,13,100.0,0,238,64.9,82.6,60.6,1,12,462,99.8,99.8,98.4,7,14,1,876,876,0,0,876,496,497,0,0,380,0
Dylan Fairchild,146716,G,GEORGIA,14,100.0,0,173,74.6,87.0,71.8,1,7,501,100.0,100.0,99.0,4,9,1,876,0,871,0,876,536,536,5,0,340,0
Anez Cooper,162732,G,MIAMI FL,13,100.0,1,220,63.3,69.9,58.3,4,12,509,100.0,100.0,97.8,2,19,3,876,0,0,0,876,550,550,875,0,326,1
Alex Harkey,157695,T,TEXAS ST,12,99.9,2,314,85.8,79.3,84.5,0,9,437,99.8,99.8,98.3,4,12,3,875,0,0,4,876,461,462,59,780,414,30
Mickey Rewolinski,130473,G,E MICHIGAN,12,100.0,0,160,76.9,86.4,72.0,1,5,472,100.0,100.0,99.2,1,7,1,875,0,770,104,875,502,502,0,1,373,0
Braydon Nelson,190617,G,N TEXAS,12,100.0,0,251,57.5,52.9,56.9,5,24,544,100.0,100.0,97.2,1,30,1,875,0,0,454,875,582,582,419,0,293,2
Davion Weatherspoon,145888,T,OHIO,14,100.0,4,259,64.9,56.9,67.9,5,10,399,100.0,100.0,98.1,6,15,0,875,0,284,591,875,420,420,0,0,455,0
Walter Young Bear,133127,G,TULSA,12,100.0,2,320,61.5,69.5,58.8,2,11,478,100.0,100.0,98.4,5,14,1,874,0,873,0,874,508,508,0,0,366,0
Brock Dieu,146503,G,WASH STATE,13,100.0,2,341,71.6,86.5,69.8,0,6,479,100.0,100.0,99.4,7,6,0,873,107,0,0,873,509,509,766,0,364,0
Kasen Carpenter,173292,C,TULSA,12,100.0,0,320,50.5,64.8,42.7,1,15,475,100.0,100.0,98.1,2,17,1,873,853,0,0,873,507,507,20,0,366,0
Anton Ambuehl,146200,G,UNLV,14,100.0,0,325,62.2,74.2,58.7,2,10,380,100.0,100.0,97.9,4,14,2,872,0,870,1,872,399,399,1,0,473,0
Rashad Green,123217,T,TULANE,14,100.0,0,319,77.6,74.9,75.5,3,11,377,100.0,100.0,97.6,4,16,2,871,0,0,0,871,399,399,0,870,472,0
Nash Jones,133226,G,TEXAS ST,12,100.0,0,314,71.6,72.1,71.1,3,8,436,100.0,100.0,98.7,4,11,0,870,0,868,0,870,458,458,0,0,412,1
Davion Carter,158004,G,TEXAS TECH,13,100.0,0,315,70.6,86.2,66.6,0,8,483,100.0,100.0,99.0,3,9,1,870,0,2,0,870,509,509,866,0,361,1
Saveyon Henderson,152603,T,COLO STATE,13,100.0,0,144,67.8,80.2,62.4,2,9,413,100.0,100.0,98.4,6,12,1,868,0,0,868,868,436,436,0,0,432,0
Caleb Etienne,144643,T,BYU,13,100.0,0,128,61.9,58.6,59.9,8,13,415,100.0,100.0,96.7,0,24,3,867,0,0,866,867,447,447,0,0,420,0
Will Campbell,157106,T,LSU,12,100.0,0,211,72.2,80.6,69.7,5,11,524,100.0,100.0,98.1,9,18,2,866,0,0,861,866,558,558,0,2,308,1
Drew Moss,150351,G,COLO STATE,13,100.0,0,144,90.5,81.3,92.6,1,7,414,100.0,100.0,98.8,8,9,1,866,0,0,0,866,438,438,865,0,428,1
Febechi Nwaiwu,145324,G,OKLAHOMA,13,100.0,0,261,59.6,72.1,53.9,0,12,471,100.0,100.0,97.9,4,16,4,864,0,0,0,864,501,501,864,0,363,0
Emery Jones Jr.,157117,T,LSU,12,100.0,1,211,61.7,67.4,61.0,4,23,522,100.0,100.0,97.2,9,28,1,864,0,0,0,864,556,556,0,859,308,3
Cory Godinet,174093,G,UTSA,13,100.0,2,331,61.1,43.3,66.3,3,12,498,100.0,100.0,98.3,6,16,1,864,0,0,0,864,529,529,864,0,335,0
Brady Wilson,121508,C,UAB,12,100.0,0,321,85.5,86.1,84.1,4,5,515,100.0,100.0,99.1,1,9,0,863,863,0,0,863,542,542,0,0,321,0
Esa Pole,174220,T,WASH STATE,13,100.0,1,341,69.9,85.8,57.6,3,6,468,100.0,100.0,99.0,3,9,0,861,0,0,857,861,499,499,0,0,362,2
T.J. Session,102316,T,CAL,12,100.0,1,130,64.2,68.6,58.8,4,19,502,100.0,100.0,96.1,3,31,8,861,0,0,0,861,539,539,155,705,322,1
Brandon Yates,99423,C,W VIRGINIA,13,100.0,0,343,72.3,79.1,69.9,3,8,408,100.0,100.0,98.2,6,13,2,861,859,0,0,861,438,438,0,0,423,0
Joshua Gray,98252,G,OREGON ST,12,100.0,0,265,72.9,63.1,74.6,4,7,420,100.0,100.0,98.5,2,12,1,860,0,860,0,860,446,446,0,0,414,0
Jordan Seaton,183886,T,COLORADO,13,100.0,4,143,67.2,75.3,62.0,6,21,568,100.0,100.0,97.1,15,30,3,860,0,0,860,860,612,612,0,0,248,0
Andrew Madrigal,71502,C,NEVADA,13,100.0,0,239,68.7,68.4,68.7,4,11,426,100.0,100.0,98.2,6,15,0,859,859,0,0,859,462,462,0,0,397,0
Alex Padgett,145657,C,BOWL GREEN,13,100.0,0,122,64.3,71.8,60.6,2,6,459,100.0,100.0,98.5,2,11,3,858,857,0,1,858,484,484,0,0,374,0
Jaylen Garth,123115,T,UTSA,13,100.0,1,331,62.9,65.7,64.8,7,13,489,100.0,100.0,96.9,8,25,5,858,0,0,0,858,520,520,0,857,338,0
Jordan Davis,146915,T,S ALABAMA,13,100.0,2,288,57.7,75.6,52.8,5,12,447,100.0,100.0,97.4,10,20,3,857,0,0,857,857,471,471,0,0,386,0
Xavier Truss,99082,T,GEORGIA,14,100.0,3,173,62.0,71.7,57.4,1,14,494,100.0,100.0,97.7,8,19,4,856,0,2,6,856,531,531,87,759,325,2
Lyndon Cooper,143987,C,PITTSBURGH,12,100.0,0,268,70.2,77.4,66.1,3,7,519,100.0,100.0,98.7,3,12,2,856,853,3,0,856,560,560,0,0,296,0
Weylin Lapuaho,157628,G,BYU,13,100.0,0,128,64.1,73.6,61.4,3,6,413,100.0,100.0,98.4,3,11,2,855,0,792,0,855,444,444,0,61,411,0
Torricelli Simpkins III,150473,G,S CAROLINA,13,100.0,1,289,67.8,81.0,66.2,0,11,406,100.0,100.0,98.2,6,13,2,855,0,4,0,855,441,441,846,1,414,2
Malachi Carney,157867,T,S ALABAMA,13,100.0,3,288,59.0,64.7,66.6,4,18,447,100.0,100.0,97.3,18,23,1,855,0,0,0,855,470,470,0,855,385,0
Isaiah World,158252,T,NEVADA,13,100.0,0,239,70.2,82.4,61.3,2,12,421,100.0,100.0,98.1,8,15,1,854,0,0,852,854,457,457,0,0,397,0
Drew Azzopardi,158777,T,WASHINGTON,13,100.0,0,340,47.6,45.9,51.9,4,18,497,100.0,100.0,96.4,6,29,7,852,0,0,10,852,515,515,0,839,337,2
Malachi Preciado,162892,C,S ALABAMA,13,100.0,3,288,57.5,65.6,58.6,2,12,447,100.0,100.0,98.2,15,15,1,852,852,0,0,852,471,471,0,0,381,0
Willie Lampkin,122344,G,N CAROLINA,12,100.0,1,245,85.6,88.8,87.6,4,4,440,100.0,100.0,99.1,5,8,0,851,0,0,0,851,473,473,851,0,378,0
Jalen Travis,155412,T,IOWA STATE,12,99.9,0,193,70.8,85.8,58.5,2,8,443,100.0,99.8,98.6,3,11,1,849,0,0,832,850,475,476,0,0,374,18
