team,status,url,title,traits
ARI,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-arizona-cardinals/,,
ATL,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-atlanta-falcons/,,
BAL,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-baltimore-ravens/,,
BUF,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-buffalo-bills/,,
CAR,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-carolina-panthers/,,
CHI,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-chicago-bears/,,
CIN,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-cincinnati-bengals/,,
CLE,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-cleveland-browns/,,
DAL,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-dallas-cowboys/,,
DEN,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-denver-broncos/,,
DET,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-detroit-lions/,,
GB,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-green-bay-packers/,,
HOU,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-houston-texans/,,
IND,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-indianapolis-colts/,,
JAX,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-jacksonville-jaguars/,,
KC,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-kansas-city-chiefs/,,
LV,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-las-vegas-raiders/,,
LAC,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-los-angeles-chargers/,,
LAR,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-los-angeles-rams/,,
MIA,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-miami-dolphins/,,
MIN,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-minnesota-vikings/,,
NE,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-new-england-patriots/,,
NO,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-new-orleans-saints/,,
NYG,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-new-york-giants/,,
NYJ,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-new-york-jets/,,
PHI,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-philadelphia-eagles/,,
PIT,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-pittsburgh-steelers/,,
SF,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-san-francisco-49ers/,,
SEA,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-seattle-seahawks/,,
TB,404,https://www.the33rdteam.com/rb-athletic-archetype-guide-tampa-bay-buccaneers/,,
TEN,429,https://www.the33rdteam.com/rb-athletic-archetype-guide-tennessee-titans/,,
WAS,429,https://www.the33rdteam.com/rb-athletic-archetype-guide-washington-commanders/,,
